"","MKI67","PMEPA1","SOX9","BGN","IFI6","GPRC5A","SOX4","TIMP1","FKBP10","CDC25B","ARFGEF3","PLOD3","MET","SLC12A7","TYMP","BOP1","KPNA2","VAV2","HELZ2","RUNX1","LMNB2","LPCAT1","SH3KBP1","THEM6","RCC2","CAD","DNMT1","SLC1A5","TMEM63A","CHD7","ENTPD6","IRAK1","DKC1","PLXNA3","GTPBP4","NCAPD2","MFHAS1","PARP14","PDCD11","MTHFD2","MFSD12","ATP5PF","RAP1A","UBL3","PINK1","MXI1","GSN","CITED2","METTL7A","KAT2B","PER1","KLF4","SLC25A4","GPX3","FHL1","class"
"TCGA-D7-6519-01A",0.100276071025395,1.10162935287282,-0.175612942780148,-0.112447753189782,-0.281508732662046,1.56028622653164,0.674397280787259,0.967501879127698,-0.21595643283203,-1.04265943914903,0.387953367868185,0.0337609146700702,-0.152021691829774,0.8002377366289,-0.319582185498071,0.432967215975138,-0.24133803660545,0.0451643424855254,1.22543079166545,-0.322388366602985,2.48801894778236,2.06799884320228,1.61944957777601,-0.0314567723884823,-0.804636737718122,-0.44695427546883,-0.123699650877705,-0.069365128192374,-1.04592991394398,-0.598292907974359,-0.936280523219634,0.841287298424262,-0.660761954274567,0.162425218842746,-0.373183002084942,-0.669079856245016,-0.360043541595525,-0.983759883758015,0.0867642151433662,-0.645340945006909,3.15296484948936,-0.516559052128171,-0.592741758213954,-0.488122835639812,-0.374216387202019,-0.424526181328982,0.0511650685644259,-0.114419786165011,-0.809619178689484,-0.443431452621056,-0.534918288910969,-0.460442155912719,0.261831959861027,-0.311557781015686,-0.343876267703161,"yes"
"TCGA-VQ-A925-01A",1.59000933187666,-0.417271230381888,-0.209728290212599,-0.866205428870191,-0.3775782536252,1.73264592918951,-0.731183727644495,-0.781225065271597,-0.108213161434141,-0.666653051095614,0.847216065622733,-0.425110864179627,-0.0809071326875133,1.20774808693979,-0.95246056140479,0.667201496864052,0.196768798212571,-0.0106693363345638,-0.465283278113519,-0.599695290256439,-0.49135592108832,0.928895557687634,0.613771080449996,0.396524714910645,-0.256244464146884,0.391581818766719,0.174476890392231,-0.184499579882863,-0.45363356723548,-0.184763164518563,-0.0303609347999225,0.455570033762308,0.765543224956546,0.322588960894231,-1.37302921418177,0.0733551747412394,-0.581818910672689,-0.165140740596285,0.650074740536492,0.607236862925228,0.559162554498632,-0.652730389995312,-0.334678746606952,0.0922512096770644,0.0387543904771221,-0.425283481204053,-0.414030796736865,-0.457571543538279,0.0312053002726916,-0.35384183163395,-0.301210770664976,0.179011975979227,-0.410954878834534,-0.345884062756382,-0.2974205050286,"yes"
"TCGA-BR-4357-01A",0.561612360786911,-0.342300760724122,-0.639285723076726,-0.290532384885376,0.74107738207882,0.0315221030115637,-1.12685078129951,-0.213942763890956,0.225766034811813,0.27891406104045,-0.33525840924157,-0.537641703153863,-0.250088041635774,1.79733676390254,-0.156660776111586,-1.32952271159534,2.48394020157674,-0.185077778200076,-0.375413781652114,0.00834963922673337,-0.80539901015911,0.084691367263454,1.56990845544719,-0.412745790669329,0.259960583427453,-0.881977881366817,0.0551697661937789,-0.521986207690209,2.07522481684374,-0.164339582290379,-0.0651855369358427,-1.13225412212054,-0.181529475496644,0.128822967708124,1.19903862753086,1.03882210539822,-0.453762199558149,0.237269641813093,-0.652694950130487,0.755185481628205,-0.577454433531517,-0.557188689625102,-0.208069199445273,-0.543801103077075,0.000730327402982791,-0.170586133531415,-0.510133175243952,-0.420144015884378,-0.700901821111226,-0.324819863920937,-0.427171718375503,-0.640711952632651,-0.215525979865493,-0.202489991999665,-0.33135799034036,"yes"
"TCGA-D7-6527-01A",-0.694455501139377,-0.377315067619935,0.624148195176015,-0.492349542172261,1.8447922464941,-0.700639865305735,-0.969784027558454,-0.514377970694907,0.0471053242254106,-0.289045750914591,0.651836334225228,1.08620093636554,-0.361048941967803,-0.933422140927978,0.0720849013354889,-0.354103075642597,0.311690619267529,-0.391104708640304,-0.57727427893936,-0.0637873071412674,0.40185508060507,1.2545045222419,-0.994356439765252,0.222417286421475,-0.055781018655729,-0.870151358750222,-0.623256312742401,3.96475162111319,2.07699606048626,-1.08795216843259,0.170943758481618,1.24731083021616,-0.307159787112091,-0.771407957509304,-0.81695593411036,0.232350777748136,-0.237835908753355,-1.37251012715143,-0.43874621777963,0.814235263342706,-0.295502725497967,-0.133500258150506,-0.471332987458323,-0.454340964497674,0.238536641462767,-0.406659195310953,-0.41786222534756,-0.336272259546995,-0.494090007748554,0.411708694637263,-0.455649831933852,-0.260797209639307,-0.363116949040752,-0.136902675179908,-0.299924268886988,"yes"
"TCGA-IN-A6RJ-01A",-0.0683032106484142,-0.563704398213258,-0.93255899304007,-0.697035707573416,2.29973367848526,-0.675403292009319,-0.623244793965178,-0.449620695395569,-0.32167244626872,-0.989380602592237,-1.00988946963194,-1.40682516667378,-0.443924732227362,-1.31941795866772,3.52951928525626,0.329354931469391,0.0280754056717777,-0.943986572907423,0.711200419360127,-0.55737805166973,0.703801854482635,-0.983713588771154,-1.59231185807891,0.0620231950168359,1.22289470977279,1.32575067330865,0.0264796139255634,1.0143959867912,-0.962433789196881,0.0858586564798559,-0.854343063947632,0.735197493792688,-0.427680952436602,0.512276541072077,-0.647477119943242,0.0788892648390299,-0.862981013830638,0.160137815213939,1.31404342208111,-0.771986427486505,-0.225149432866388,0.757818827686378,-0.34920460411819,-0.000316654114635344,1.00594103616535,0.728688898136816,0.627257309524077,0.894550489362704,-0.155470475326325,0.931386974989333,0.240714702558688,1.37218873303847,-0.298584956480455,0.567614179226921,-0.312929497213494,"yes"
"TCGA-BR-8683-01A",-0.211907248858849,0.303337508431898,-0.105264595084289,-0.341016677614927,-0.41272676044334,-0.305561665387971,0.842331475016471,-0.592574329516721,-0.136955637645241,-0.367970416587905,-0.190193984906766,0.949325190613386,2.65681923352803,-0.755147375260224,-0.752832281041472,-0.772935920911494,-1.19752105129581,1.91720784876883,5.67976300826033,0.144360633821519,-0.258850476908378,-0.54061648399733,-0.812526276745748,-0.975034473814161,-0.720858786797361,0.375033067099343,-0.345278787180939,-0.405496164499906,1.12249653351788,0.64596977407236,1.86204979476953,0.5411603219361,-0.652123234672184,1.51198433757331,-0.978734115587146,-0.408373766041227,-0.710260710292082,1.09812221007061,-0.703464062468486,-0.676295730155023,-0.286161058049515,-0.671129807796068,-0.368720748494688,-0.442470186000405,0.227151264701178,-0.115441753014919,-0.0238073140644252,-0.252318865514831,-0.619532724571716,-0.339079209494389,-0.40521666162632,-0.22250375490171,-0.437668767233542,-0.386462292581477,-0.246569760391635,"yes"
"TCGA-BR-8485-01A",0.420993810308791,-0.237565960198731,0.0200008268102365,-0.409641715369487,-0.634275383033417,-0.705841961716454,1.06382950377995,-0.730111882246844,-0.0974985873517729,0.466930069079949,0.174027951116673,-0.600582975823265,-0.145051805154752,-0.257837035513402,-0.577573956562976,0.00993931273263995,0.230436770662578,-0.0529327387971397,0.545097596890626,-0.235376279875919,1.17776963007463,-0.130382754515256,-0.774892470808668,-0.724086345054734,0.249339140495628,1.20925745133941,-0.50445966564225,0.258692547991397,0.0332546160921013,1.65443626101534,-0.237085027849996,-0.701259376823119,-0.193988750922962,-0.277287867705566,0.749862586316563,1.59128768661758,-0.609745426675049,-0.584614377317799,0.394040609332747,-0.17560625775835,-0.321083569590907,-0.532408145674072,-0.389336950153648,-0.40635433912764,-0.518949029028902,-0.528717470266952,-0.452789653194264,-0.411082587967764,-0.368224828706427,-0.41043402190654,-0.273602253762412,-0.443682588210629,-0.384092879714418,-0.340728548580979,-0.299325032923125,"yes"
"TCGA-BR-4279-01A",-1.11376081563579,-0.320618761431628,-0.609403251988561,1.74097319355399,0.453595647286777,-0.492731765914882,-0.0961641104814202,5.48239574939251,0.174657265377392,-0.367304303705742,1.44468249971711,-0.777905760996928,-0.109923131257896,-1.01886106226845,-0.544394881605943,-1.55367019674386,0.279623582273738,-0.620416521771097,-1.22177613292637,1.50549936200693,-1.4219915074023,-0.390353074888513,0.214208645468252,-1.33737032332,-1.35748930058657,-1.39375523377092,-1.01708161703535,-0.202622717471718,-1.21238310997324,-0.802959332615659,-1.170493417496,-1.24980326074541,0.0824576749192457,-1.32557644880031,-0.184594386353087,-0.724937781610575,0.240475586202045,-0.506326088179473,-0.744410841512266,1.10053873405961,-1.39891061906072,1.02975371527544,1.54119943360237,1.62473584769,0.0412672094618505,0.484004714464171,0.342969161458263,0.288981049910043,0.464926260139712,0.661655627286098,-0.250534945531386,0.714342064666006,0.31017632332373,2.45896294136815,0.0950236123889837,"yes"
"TCGA-D7-A6F0-01A",0.973688156458486,-0.632016428640392,0.26653955991939,-0.618230282690871,-0.604180389564417,-0.814977924903582,-0.401628572543548,-0.88953313343583,0.254273090089137,-0.455213126386443,-1.06742232581249,-0.209505445819291,-0.374472328205524,-0.622978185237825,0.609426692122197,0.472263086124389,3.6352689382182,1.76818093549956,-0.866801526227917,0.187535038896426,1.92338677509189,1.15334794371834,1.76498483355228,-0.152879448749746,0.629942671870766,1.84313797567809,-0.0471716509341681,0.376294356437223,-0.100937772923437,0.301242829142797,-0.27268609024864,-1.60044727649188,-0.58532649420617,-0.105485108582174,0.243084284489317,4.42907774266414,0.518615036311966,-0.506066058262765,0.890519493044399,0.675422129934009,-1.25298075172925,-0.157735189317806,-0.329533180219243,-0.513135362613975,-0.560564923320403,-0.558150463126754,-0.436221545770696,-0.520327918101121,-0.383143840330924,-0.427338898909982,-0.335849507949729,-0.771438119547917,-0.373479637406758,-0.292226735075667,-0.339823529452399,"yes"
"TCGA-BR-A4J9-01A",-1.31118505915696,-0.128767298108858,-0.435213678105217,0.503913914670586,-0.318018679487175,-0.616996141400035,-0.478802087248451,1.1832048988566,-0.200463697040261,-0.648379858749087,0.0421498394943833,-0.421325619742672,-0.344027115394734,-0.549474703154833,-0.7940669567224,-0.502734367613104,-0.952125607803438,-0.516466002248854,-1.01120513844535,-0.683385264315002,-0.972902100878745,-0.0825897628219384,-0.215950912563243,-1.28662937896511,-1.11271610471881,-0.57968813170899,-0.448503262457756,-0.711228990010656,0.0544988812385371,0.242168842925672,-0.792737728840827,-0.641027745110468,-0.782137851006234,-0.411269572726837,-0.0747829504350297,-0.736685319469834,0.735544964028535,-0.0999557911107005,0.131220788487799,-0.808164561724995,-0.280571614818188,1.44477759511389,2.36680938997631,0.733950690101203,1.87754146491521,1.42116440347492,1.25064791813706,1.06463869542636,1.24088104250782,1.12916907176547,1.08785083291013,-0.66765203752454,2.92705296652946,-0.177593006791855,4.59619790342415,"yes"
